Hour,Tweets
00:00,8134
01:00,5875
02:00,6920
03:00,2345
04:00,3956
05:00,2034
06:00,17019
07:00,22774
08:00,4690
09:00,10622
10:00,9603
11:00,7773
12:00,12713
13:00,10365
14:00,8226
15:00,8671
16:00,7730
17:00,8859
18:00,7217
19:00,10878
20:00,8921
21:00,9217
22:00,7305
23:00,3942
